Data As Of,Start Date,End Date,Jurisdiction of Occurrence,Year,Month,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),flag_accid,flag_mva,flag_suic,flag_homic,flag_drugod
07/26/2023,01/01/2020,01/31/2020,United States,2020,1,264681,242914,3687,52635,8234,11122,6656,15533,4497,4886,2755,60896,14113,15012,2914,4040,1708,6547,6,4,,,,,
07/26/2023,02/01/2020,02/29/2020,United States,2020,2,244966,224343,3324,48764,7766,10444,6147,14267,4067,4507,2599,56851,12818,14497,2910,3672,1471,6435,25,20,,,,,
07/26/2023,03/01/2020,03/31/2020,United States,2020,3,269806,247634,3669,51640,8433,11385,7579,15284,4499,4727,2808,60229,13742,15444,2874,3952,1693,7268,7175,6785,,,,,
07/26/2023,04/01/2020,04/30/2020,United States,2020,4,322424,300780,3366,48773,9440,12307,5781,13765,4026,4476,2826,62285,13420,15493,2569,3480,1756,7938,65553,62014,,,,,
07/26/2023,05/01/2020,05/31/2020,United States,2020,5,280564,255489,3085,49012,8361,10706,3612,12064,3489,4122,2524,56561,12776,18205,3365,3769,2067,9466,38330,35279,,,,,
07/26/2023,06/01/2020,06/30/2020,United States,2020,6,250456,225455,3036,47962,7629,9954,3074,10935,3281,4006,2496,53590,12315,17784,4026,3985,2261,8212,18026,15827,,,,,
07/26/2023,07/01/2020,07/31/2020,United States,2020,7,279012,252481,3127,50626,8641,11024,3333,11673,3309,4262,2887,57193,13024,18823,4107,4184,2426,8583,31135,28279,,,,,
07/26/2023,08/01/2020,08/31/2020,United States,2020,8,277282,251071,3268,51209,8302,10966,3209,11516,3391,4231,2793,56245,13094,18762,4226,4055,2348,8351,29913,27031,,,,,
07/26/2023,09/01/2020,09/30/2020,United States,2020,9,257190,232827,3136,49671,7994,10471,3083,11066,3303,3990,2583,53889,12771,17234,4083,3925,2191,7589,19158,16858,,,,,
07/26/2023,10/01/2020,10/31/2020,United States,2020,10,273906,249366,3250,51255,8316,11066,3339,11599,3558,4237,2687,56898,13615,17262,4192,3804,2368,7486,24930,22083,,,,,
07/26/2023,11/01/2020,11/30/2020,United States,2020,11,302583,278769,3388,49658,8887,11631,3538,12006,3641,4404,2842,58308,13557,16818,3802,3716,2242,7417,53250,48037,,,,,
07/26/2023,12/01/2020,12/31/2020,United States,2020,12,367209,342681,3778,51907,10305,13195,4284,13055,4099,4750,3241,65414,15271,17699,3586,3581,2230,7760,98175,89612,,,,,
07/26/2023,01/01/2021,01/31/2021,United States,2021,1,373642,348017,3688,51602,10254,12781,4245,12792,4141,5237,2886,65336,15112,18467,3446,3893,2154,8858,105566,96438,,,,,
07/26/2023,02/01/2021,02/28/2021,United States,2021,2,282548,259720,3366,46084,8504,9974,3377,10826,3556,4390,2478,56164,13143,16384,2814,3568,1826,7761,48570,42857,,,,,
07/26/2023,03/01/2021,03/31/2021,United States,2021,3,271042,245457,3392,50318,8623,9853,3333,11496,3757,4562,2622,57732,13689,18505,3540,3992,1935,9339,23268,19633,,,,,
07/26/2023,04/01/2021,04/30/2021,United States,2021,4,257047,231263,3046,49280,8124,8899,3057,11002,3507,4286,2536,55127,13144,18900,3904,3720,2068,9490,18805,16020,,,,,
07/26/2023,05/01/2021,05/31/2021,United States,2021,5,258360,231635,3111,50587,8021,9156,2926,11369,3713,4303,2585,55420,13129,19139,4123,4093,2361,9334,14989,12744,,,,,
07/26/2023,06/01/2021,06/30/2021,United States,2021,6,245269,218347,3158,49258,7766,8804,2839,11191,3587,4125,2685,53632,12478,19472,4147,4077,2296,9073,8024,6561,,,,,
07/26/2023,07/01/2021,07/31/2021,United States,2021,7,257929,230220,3419,51281,7841,9056,3121,11754,3740,4291,2886,55368,13065,20078,4267,4090,2407,9441,11222,9741,,,,,
07/26/2023,08/01/2021,08/31/2021,United States,2021,8,304052,276341,3405,52355,8731,9739,3412,12189,3842,4415,3141,58456,13307,19943,4370,4366,2304,9415,48822,45466,,,,,
07/26/2023,09/01/2021,09/30/2021,United States,2021,9,312514,285695,3544,50314,8689,9968,3534,11809,3801,4538,3151,56766,13211,19278,4303,4232,2272,8994,63443,59212,,,,,
07/26/2023,10/01/2021,10/31/2021,United States,2021,10,300219,273380,3763,52119,8592,9981,3675,12178,3971,4566,3070,58660,13972,19170,4513,4267,2332,8809,42606,38771,,,,,
07/26/2023,11/01/2021,11/30/2021,United States,2021,11,289077,263564,3615,50326,8781,10382,3814,12179,4066,4574,3222,59239,13989,18503,4017,3952,2022,8325,32328,29008,,,,,
